convective_day,max_risk,primary_class,ofb_mcs_boundary_regime,dominant_hazards,storm_modes,boundary_drivers,forecast_challenges,ofb_mcs_boundary_reason,day_narrative
2019-05-25,ENH,forward_propagating_mcs_wind,core,damaging wind|hail|brief tornadoes,MCS|squall line|dryline storms,convective outflow|dryline|low-level jet,mcs_timing|ofb_placement|mode_transition,The enhanced corridor followed an outflow-driven leading edge of upscale-growing convection across Oklahoma and Kansas.,The southern and central Plains into the middle Mississippi Valley saw severe storms along dryline and outflow boundaries. The most organized threat became a squall line with damaging winds and mesovortices from Oklahoma into Arkansas and Missouri.
2019-05-26,MDT,derecho_or_serial_mcs_wind,core,significant wind|large hail|tornadoes,supercells|large-scale bow|forward-propagating MCS,central High Plains upslope flow|MCS cold pool|lee trough,mcs_timing|mode_transition|nocturnal_evolution,The event's higher-end hazard was a mature bowing MCS with measured 70-85 mph gusts and wind-damage swaths.,Severe storms initiated across the central High Plains with tornado and hail potential before growing into a damaging wind-producing MCS. The late-night bowing system across Kansas and Missouri drove the Moderate risk with significant wind damage potential.
2019-05-27,ENH,multi_region_multi_mode,likely,tornadoes|large hail|damaging wind,supercells|MCS|clusters,warm front|post-frontal instability plume|High Plains upslope,mode_transition|mcs_timing|boundary_interaction,"MCS evolution and outflow affected later Plains/Missouri Valley hazards, while warm-front and upslope boundaries also drove initiation.",Severe risk spanned Indiana and the Ohio Valley plus the central High Plains into the mid Missouri Valley. Tornadic supercells occurred in the Midwest while High Plains storms later spread east with hail and wind potential overnight.
2019-05-28,MDT,multi_region_multi_mode,likely,large hail|damaging wind|tornadoes,supercells|MCS|bowing segments,dryline|cold front|convective boundaries,prior_convection|mode_transition|storm_coverage_uncertain,"Convective overturning and MCS remnants influenced several corridors, though dryline and frontal forcing also remained prominent.","The central and southern Plains into the Midwest saw multiple rounds of severe storms. Oklahoma and north Texas had supercell and dryline potential, while the Ohio Valley and Pennsylvania/New Jersey corridor added separate wind, hail, and tornado threats."
2019-05-29,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|large hail|brief tornadoes,MCS|supercells|storm clusters,MCV crossing southern Appalachians|stalled front|convectively overturned areas,mcv_track|prior_convection|instability_recovery,The outlook explicitly expanded risk for an MCS associated with an MCV crossing the southern Appalachians and trimmed convectively overturned areas.,"Severe storms persisted from the southern Plains through the Ozarks and from the Ohio Valley into the Mid-Atlantic. An MCV-related MCS increased the damaging-wind threat in Virginia while other regions supported hail, wind, and isolated tornadoes."
2019-06-01,ENH,multi_region_multi_mode,likely,large hail|damaging wind,clusters|MCS|supercells,cold front|outflow boundaries|lower Missouri Valley instability axis,mcs_timing|storm_coverage_uncertain|nocturnal_evolution,"Multiple storm clusters and a damaging-wind-producing convective system were central, though several regions contributed to the ENH risk.","Scattered severe thunderstorms continued from the southern High Plains across the lower Missouri Valley into parts of Ohio. Large hail and damaging winds were the primary threats, with late clusters increasing wind potential near St. Louis and northwest Texas."
2019-06-04,ENH,forward_propagating_mcs_wind,core,damaging wind|large hail,MCS|line of storms|clusters,central Minnesota MCS|cold front|destabilizing downstream air mass,mcs_timing|instability_recovery|mode_transition,The Enhanced risk was expanded based on a developing MCS and downstream destabilization favoring damaging winds.,"A developing MCS across central Minnesota was expected to move southeast into southern Minnesota and surrounding areas. Wind was the main severe hazard as the cold pool encountered steep low-level lapse rates, with hail also possible in stronger storms."
2019-06-05,ENH,forward_propagating_mcs_wind,likely,damaging wind|large hail|brief tornado,quickly upscale-growing storms|linear segments|clusters,sagging cold front|convective outflow boundary|shortwave trough,mode_transition|boundary_interaction|instability_recovery,"Outflow initiated or modulated some storms, while the main risk was upscale growth along a front and shortwave corridor.","The Ohio and middle Mississippi Valleys had the greatest severe risk, with additional isolated storms in the Mid-Atlantic, Carolinas, and west Texas. Initial hail-producing storms were expected to grow quickly into damaging-wind-producing linear segments."
2019-06-06,ENH,southeast_multicell_or_clusters,likely,damaging wind|large hail|brief tornadoes,embedded supercells|clusters|high-based storms,southeast Louisiana storm cluster|outflow boundaries|Gulf Coast moisture axis,prior_convection|storm_coverage_uncertain|mode_transition,"Clusters and outflow-modified Gulf Coast convection controlled the main southern severe corridor, with separate northern High Plains storms.","South-central and southeast Texas had the main wind and hail risk, while embedded supercells near the Gulf Coast produced a conditional tornado threat. Other isolated severe storms occurred in the northern Rockies and High Plains, making the day multi-region but cluster-driven."
2019-06-09,ENH,forward_propagating_mcs_wind,core,damaging wind|large hail,MCS|clusters|bowing segments,southward-moving MCS cold pool|instability gradient|front/outflow zone,mcs_timing|instability_recovery|nocturnal_evolution,The enhanced threat was tied to an MCS progressing south-southeast through Oklahoma and Texas with a damaging wind corridor.,"A southward-moving MCS crossed Oklahoma into north and central Texas. Damaging wind was the main hazard as the complex propagated into a strongly unstable air mass, with hail remaining possible in stronger embedded cores."
2019-06-15,MDT,derecho_or_serial_mcs_wind,core,significant wind|large hail|tornadoes,forward-propagating MCS|embedded supercell|tornadic supercells in Indiana,northwest Texas MCS cold pool|differential heating zone|effective boundary,mcs_timing|boundary_interaction|mode_transition,The Moderate risk was upgraded for a forward-propagating MCS with measured severe winds and expected widespread damaging gusts.,"Northwest Texas into Oklahoma experienced a high-end MCS wind event with measured severe gusts over 80 mph. A separate Indiana/Ohio corridor had tornadic supercells tied to a differential heating boundary, making this a multi-mode but wind-dominant day."
2019-06-16,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|large hail|tornadoes,clusters|MCS|multicells,multifaceted outflow|surface low|central Texas instability gradient,ofb_placement|instability_recovery|mode_transition,The central Texas Enhanced risk was focused along multifaceted outflow and decaying convective boundaries from earlier storms.,"Central Texas storms formed along and south of outflow boundaries in an extremely unstable air mass. Shear was modest, so the main threats were damaging wind and hail, though a few tornadoes were possible early in the convective cycle."
2019-06-18,ENH,mcv_mcs_outflow_reintensification,core,large hail|damaging wind|tornadoes,MCS|line segments|supercells,Kansas MCV|MCS remnants|confluence zone,mcv_track|prior_convection|storm_coverage_uncertain,The outlook centered on remnants of a long-lived MCS and an MCV over Kansas as key drivers of renewed severe storms.,"Multiple severe rounds affected the central and southern Plains, with the key Kansas corridor tied to an MCV and remnants of a long-lived MCS. Later storms from west Texas into Oklahoma produced severe hail and wind, with a few tornadoes possible where supercells persisted."
2019-06-19,ENH,forward_propagating_mcs_wind,core,very large hail|damaging wind|tornadoes,supercells|forward-propagating line|bow echo,prior-MCS outflow boundary|mesolow/cold front|shortwave trough,prior_convection|ofb_placement|mode_transition,The north Texas and Arklatex risk was explicitly tied to a northwest-extending outflow boundary left by a decaying MCS.,"North-central and northeast Texas into the Arklatex had a very unstable air mass along prior-MCS outflow. Initial severe storms posed very large hail and tornado risk, then bowing line segments produced damaging wind swaths into Arkansas, Mississippi, and Tennessee."
2019-06-20,ENH,multi_region_multi_mode,likely,damaging wind|large hail|brief tornadoes,linear MCS|High Plains supercells|clusters,Southeast linear MCS|upslope flow|High Plains low,mcs_timing|multi_region_evolution|mode_transition,"A linear MCS was central in the Southeast, while separate High Plains storms were more upslope/frontal driven.","An MCS across the Southeast produced a damaging-wind threat, while the central/northern Plains and mid Missouri Valley had separate severe storms with hail, wind, and brief tornado potential. The day is best treated as multi-region, with the MCS hazard most organized in the Southeast."
2019-06-21,ENH,forward_propagating_mcs_wind,core,damaging wind|hail|brief tornadoes,linear MCS|clusters|supercells,Tennessee Valley MCS|cold front|High Plains upslope flow,mcs_timing|instability_recovery|mode_transition,The Tennessee Valley and Missouri Valley severe corridors were dominated by fast-moving MCSs and their leading-edge cold pools.,"Two mesoscale convective systems raced southeast across the lower Missouri and Tennessee Valleys. Wind damage was the main hazard along the leading edges, with hail and a QLCS tornado possible in the strongest segments."
2019-06-22,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|large hail,MCS|clusters|supercells,ongoing MCS|MCV/shortwave|High Plains convergence zone,mcs_timing|prior_convection|storm_coverage_uncertain,The southern/central Plains risk was anchored by an ongoing MCS along the western edge of strong instability and MCV-related redevelopment.,Clusters and MCSs affected the central/southern Plains and parts of the Southeast. Ongoing convection from northwest Oklahoma into Kansas and MCV-related redevelopment were central to the damaging wind and hail risk.
2019-06-23,ENH,forward_propagating_mcs_wind,core,damaging wind|hail,linear MCS|clusters|isolated storms,linear MCS south of front|cold front|instability axis,mcs_timing|instability_recovery|storm_coverage_uncertain,The main southern Plains and Arklatex risk was tied to a linear MCS along and south of a front.,A linear MCS over north Texas into the Arklatex drove the main damaging-wind and hail risk. Additional storms in the Ohio and Tennessee Valleys and central High Plains were more isolated and secondary.
2019-06-24,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|hail,clusters|multicells|isolated supercells,remnant MCV over southern Kentucky|central/southern Appalachian instability|west Texas dryline,mcv_track|instability_recovery|storm_coverage_uncertain,The central/southern Appalachian risk was explicitly tied to a well-defined remnant MCV and downstream destabilization.,"The primary severe corridor evolved over the Appalachians and Ohio Valley ahead of a remnant MCV. Damaging winds were the main hazard there, while isolated supercells with hail and wind also developed over west-central and southwest Texas."
2019-06-27,ENH,northwest_flow_mcs,likely,damaging wind|large hail|tornadoes,bowing complex|supercells|MCS,northern Montana storm complex|easterly low-level flow|instability gradient,mode_transition|mcs_timing|storm_coverage_uncertain,"The main northern High Plains threat became an upscale-growing bowing complex, though initial supercell development also mattered.","Central and northeast Montana into western North Dakota saw supercells evolve into a bowing complex. Damaging winds became the primary threat as linear mode dominated, but large hail and a tornado or two were still possible."
2019-06-29,ENH,forward_propagating_mcs_wind,likely,damaging wind|large hail|tornadoes,supercells|MCS|line of storms,Dakotas instability axis|strengthening low-level jet|front/warm sector,mode_transition|nocturnal_evolution|mcs_timing,The risk transitioned from evening storms to an overnight damaging-wind MCS over the Dakotas and Upper Midwest.,"North Dakota had evening severe storms with hail, wind, and tornado potential in a moist and unstable air mass. As the low-level jet strengthened, the severe risk transitioned toward damaging winds spreading into the Upper Midwest overnight."
2019-07-08,ENH,forward_propagating_mcs_wind,likely,damaging wind|hail|brief tornado,organized line|bowing segment|clusters,northern Plains front|organized convective line|downstream instability,mcs_timing|instability_recovery|mode_transition,The main late risk was an organized convective line and bowing segment across North Dakota and Minnesota.,Northern and central Great Plains storms organized into a line that produced severe wind gusts and hail. The 01Z outlook highlighted a 70+ mph wind-producing line across eastern North Dakota with continued severe potential into Minnesota.
2019-07-19,MDT,derecho_or_serial_mcs_wind,core,significant wind|large hail,derecho-like MCS|bow echo|clusters,dying MCS/outflow|warm-sector instability|Upper Midwest baroclinic zone,mcs_timing|instability_recovery|mode_transition,The Moderate risk centered on a significant wind-producing MCS/bow echo across Wisconsin.,"This was a wind-driven Upper Midwest event, with the late outlook focused on significant gusts across central and northeast Wisconsin. Earlier MDs monitored a dying MCS and later storm organization, with damaging wind ultimately the dominant hazard."
2019-07-20,ENH,derecho_or_serial_mcs_wind,core,damaging wind|brief tornadoes|hail,intense bow echo|MCS|line of severe thunderstorms,intense bow echo|cold pool|Midwest instability plume,mcs_timing|instability_recovery|mode_transition,The Enhanced risk was driven by an intense bow echo and its cold pool from Iowa/Wisconsin into Lower Michigan.,"A fast-moving bow echo crossed Wisconsin and Lake Michigan into Lower Michigan, producing a heightened damaging-wind risk. Additional central High Plains storms were secondary; the primary hazard was wind with brief tornado potential along the bow."
2019-08-05,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|hail,MCS|clusters|frontal storms,MCS/MCV over Wisconsin|southeast-moving cold front|destabilizing boundary layer,mcv_track|prior_convection|instability_recovery,An MCS with a progressive MCV was the central feature for the Upper Midwest and Great Lakes wind threat.,"An MCS and associated MCV crossed northern Wisconsin and Upper Michigan while new storms formed along its southern flank and a cold front. Damaging wind was the main hazard across the Upper Midwest and Great Lakes, with hail secondary."
2019-08-06,ENH,northwest_flow_mcs,likely,very large hail|damaging wind,initial supercells|MCS|clusters,southeast-advancing cold front|northern Plains moisture corridor|Nebraska MCS,mode_transition|mcs_timing|storm_coverage_uncertain,The northern Plains threat began along the cold front and later included an organized MCS into Nebraska and Kansas.,"The northern and central Plains had supercell potential along a southeast-moving cold front, with large hail initially and damaging winds increasing as storms organized. Overnight, an MCS moved southeast across Nebraska with severe gust potential."
2019-08-11,ENH,multi_region_multi_mode,likely,damaging wind|large hail|tornadoes,supercells|MCS|clusters,northern/central Plains boundaries|Montana severe wind swath|low-level moisture corridor,mode_transition|mcs_timing|multi_region_evolution,Several watches and MDs described severe wind swaths and later MCS organization across the Plains.,"Northern and central Plains severe storms produced a mix of supercell hazards and later convective-system wind. Montana, Nebraska/Kansas, and adjacent areas all contributed to the Enhanced risk, with damaging wind and large hail most prominent and tornadoes possible early."
2019-08-12,ENH,qlcs_bowing_wind_tornado,core,damaging wind|tornadoes|hail,convective complex|QLCS|embedded rotation,Illinois/Indiana convective complex|effective boundary|warm-sector instability,mode_transition|mcs_timing|instability_recovery,The Enhanced risk was driven by an eastward-moving convective complex with damaging winds becoming primary.,Illinois into Indiana and southwest Ohio had an evening convective complex with damaging wind as the primary threat. Tornado risk persisted in central Illinois where storms remained more organized and favorably sheared.
2019-08-13,ENH,forward_propagating_mcs_wind,likely,damaging wind|large hail,bow echo|organized line|clusters,western Kansas convective line|cold front|outflow boundary,mcs_timing|mode_transition|boundary_interaction,"The strongest severe signal was an organized bowing corridor with widespread severe gusts, likely reinforced by outflow and cold-pool processes.","Western Kansas into northwestern Oklahoma had organized severe storms moving southeast, while the Tennessee Valley and northern Gulf states had additional storms. The most intense hazard was a bow apex corridor with widespread 60-75 mph gusts."
2019-08-15,ENH,ofb_differential_heating_supercells,core,large hail|damaging wind|tornadoes,boundary-rooted supercells|MCS|clusters,east-west outflow boundary|northeast Kansas to western Missouri corridor|low-level jet,ofb_placement|mode_transition|nocturnal_evolution,The outlook explicitly tied persistent overnight storms to an east-west outflow boundary across northeast Kansas.,"Eastern Kansas into western Missouri had storms rooted near an outflow boundary with strong shear and instability. Large hail and damaging wind were the main hazards, with a couple tornadoes possible where storms interacted favorably with the boundary."
2019-08-16,ENH,conditional_capped_supercells,likely,very large hail|damaging wind,supercells|clusters|elevated storms,decaying morning outflow|front from east-central Colorado to Missouri|differential heating zone,prior_convection|cap_conditional|storm_coverage_uncertain,Morning outflow was expected to dissipate but helped define the later front and differential heating corridor for severe development.,The central High Plains to lower Missouri Valley had a conditional but potentially significant hail and wind setup. Storms were expected to develop along the surface front and spread across Kansas through the night.
2019-08-17,ENH,multi_region_multi_mode,likely,damaging wind|large hail,MCS|clusters|linear segments,cold front from Minnesota to Nebraska|moist low-level air|ongoing storm clusters,mcs_timing|nocturnal_evolution|multi_region_evolution,Several storm clusters and MCSs shaped the overnight severe wind/hail corridors across the Plains and Midwest.,Severe storms extended from the northern and central Plains into the Midwest along and south of a cold front. Damaging winds and large hail were the primary hazards as storms organized into clusters and moved southeast through the night.
2019-08-19,ENH,elevated_nocturnal_hail_mcs,likely,large hail|damaging wind|brief tornado,elevated storms|MCS|compact bow echo,eastward-moving front|low-level jet|Iowa/Minnesota instability axis,nocturnal_evolution|mcs_timing|storm_coverage_uncertain,"The overnight threat was driven by storms congealing into a complex, with bowing elements and cold-pool organization.",Large hail and damaging gusts were expected late at night across Iowa and northern Minnesota. Storms developing into a complex eventually shifted the risk from hail toward damaging wind as organization increased.
2019-08-20,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|large hail,MCS|bow echo|High Plains supercells,well-developed Illinois MCS/MCV|gust front/cold pool|central Plains evening boundary,mcv_track|mcs_timing|instability_recovery,The main Illinois/Indiana risk was explicitly tied to a well-developed MCS and associated MCV with a gust-front wind threat.,"A well-developed MCS and MCV crossed Illinois into Indiana, producing a damaging-wind threat as the cold pool interacted with an unstable air mass. Separate evening storms in the central Plains added large hail and wind potential."
2019-08-24,ENH,elevated_nocturnal_hail_mcs,likely,damaging wind|large hail|tornadoes,supercells|organized line|MCS,mid-level low over Kansas|moist boundary layer|evening frontal/outflow zone,nocturnal_evolution|mode_transition|storm_coverage_uncertain,"The day evolved from isolated supercells into an organized nocturnal line, with outflow and cold-pool processes controlling late wind potential.","Central and western Kansas into northern Oklahoma had a late-day and nighttime severe threat. Initial storms could produce hail and a tornado, then an organized line spread southeast with damaging winds."
2019-08-26,ENH,forward_propagating_mcs_wind,likely,damaging wind|hail,broken line|MCS|clusters,storm line from Oklahoma to Missouri|cold front/outflow zone|instability axis,mcs_timing|storm_coverage_uncertain|instability_recovery,"The main severe risk followed a broken line and storm clusters, likely modulated by outflow and cold-pool evolution.","Central Oklahoma into southeast Kansas, southern Missouri, and northwest Arkansas had storms capable of damaging wind and hail into the late evening. The event was mainly a line/cluster wind episode with hail in stronger cores."
2019-08-29,ENH,forward_propagating_mcs_wind,likely,damaging wind|hail,clusters|MCS|bowing line,northwest Kansas to Missouri frontal corridor|nocturnal low-level jet|storm outflow,nocturnal_evolution|mcs_timing|mode_transition,Storms were expected to organize into a damaging-wind-producing corridor from Kansas into Oklahoma and Missouri.,Northwest Kansas into west-central Missouri had evening and overnight hail and wind potential. Storms grew upscale over eastern Kansas with damaging wind increasing into northeast Oklahoma and southwest Missouri.
2019-09-02,ENH,forward_propagating_mcs_wind,core,damaging wind|brief tornadoes|hail,bow echo|quasi-linear MCS|tropical rainband cells,North Dakota bow echo cold pool|Upper Midwest warm advection|Hurricane Dorian rainbands,mcs_timing|nocturnal_evolution|boundary_interaction,The main Upper Midwest risk was a small organized bow echo/MCS with embedded mesovortex potential.,"The Upper Midwest severe risk was driven by a bow echo that moved from North Dakota into Minnesota and Wisconsin, producing damaging wind and embedded tornado potential. A separate low tornado risk accompanied Hurricane Dorian along the Florida east coast."
2019-09-10,ENH,mixed_discrete_to_qlcs_outbreak,likely,tornadoes|damaging wind|hail,supercells|forward-propagating MCS|line of storms,north-central Nebraska/south-central South Dakota initiation zone|warm front|MCS cold pool,mode_transition|mcs_timing|boundary_interaction,"The event was forecast to start with supercells and then grow upscale into a forward-propagating MCS, making cold-pool evolution important.","Northern Nebraska into southeast South Dakota and northwest Iowa had a supercell-to-MCS severe setup. Early storms could produce tornadoes and hail, then upscale growth supported damaging wind into southern Minnesota and northern Iowa overnight."
2019-09-23,ENH,cold_core_low_cape,likely,large hail|damaging wind|isolated tornado,supercells|multiple rounds|clusters,baroclinic zone reinforced by morning convection|intense Southwest trough|Arizona moisture plume,prior_convection|boundary_interaction|storm_coverage_uncertain,Morning convection reinforced the Arizona baroclinic zone that helped focus later supercells and multiple rounds.,"Southwest and central Arizona had a rare cool-season severe setup under a strong Southwest trough. Multiple rounds of storms, including supercells, posed large hail as the main hazard with strong wind and an isolated tornado possible."
2020-01-11,ENH,qlcs_bowing_wind_tornado,core,damaging wind|QLCS tornadoes|isolated strong tornadoes,long-lived squall line|QLCS mesovortices|embedded supercells|LEWP/bow segments,ongoing squall-line gust front|strong front|warm-sector moisture surge|low-level jet,instability_recovery|mode_transition|boundary_interaction|mcs_timing,A pre-existing squall line from the prior night was the main severe-weather feature and controlled the wind and tornado corridor.,"The previous night's southern Plains MCS carried east into the Southeast as an intense QLCS. SPC focused the Enhanced Risk on damaging winds and embedded tornadoes, with a conditional strong-tornado corridor where instability recovered ahead of the line in Alabama."
2020-03-18,ENH,dryline_supercell_hail_tornado,likely,very large hail|tornadoes|damaging wind,discrete supercells|cyclic supercells|clusters|later bowing segments,dryline|old outflow boundary|effective warm front|surface low,ofb_placement|boundary_interaction|cap_conditional|mode_transition,The outlook explicitly highlighted an old outflow boundary interacting with the dryline and low-level shear in the main tornado/hail corridor.,"Southern Plains storms initiated along the dryline in a strongly unstable, sheared air mass. The highest tornado and hail potential depended on dryline storms interacting with an old outflow/effective boundary before later clustering."
2020-03-24,ENH,ofb_differential_heating_supercells,core,tornadoes|large hail|damaging wind,discrete supercells|low-topped supercells|elevated early storms,rain-reinforced boundary|residual rain-cooled boundary|surface cyclone|warm front,instability_recovery|boundary_interaction|ofb_placement|storm_coverage_uncertain,The ENH corridor was explicitly focused on a rain-reinforced/residual boundary that enhanced low-level shear and storm rooting.,"Tennessee Valley severe potential focused along and south of a rain-reinforced boundary as a surface cyclone approached. The main severe window involved supercells near the boundary, including a strong-tornado risk near the Alabama/Tennessee border."
